Taxa	Taxa Name	Number of Sites	Gametes Missing	Proportion Missing	Number Heterozygous	Proportion Heterozygous	Inbreeding Coefficient	Inbreeding Coefficient Scaled by Missing
269	Va85:250040165	27535	15880	0.28836	140	0.00714	Inbreeding Coefficient	ICSBM
270	Va99:250048001	27535	9042	0.16419	42	0.00182	Inbreeding Coefficient	ICSBM
271	VaW6:250040082	27535	13806	0.2507	67	0.00325	Inbreeding Coefficient	ICSBM
272	W117Ht:250047949	27535	10742	0.19506	21	9.4748E-4	Inbreeding Coefficient	ICSBM
273	W153R:250048003	27535	7902	0.14349	36	0.00153	Inbreeding Coefficient	ICSBM
274	W182B:250048007	27535	7960	0.14454	44	0.00187	Inbreeding Coefficient	ICSBM
275	W22:250040808	27535	5260	0.09551	66	0.00265	Inbreeding Coefficient	ICSBM
276	W22R-r-std_CS-2909-1:250040186	27535	5248	0.0953	38	0.00153	Inbreeding Coefficient	ICSBM
277	W64A:250040195	27535	6760	0.12275	45	0.00186	Inbreeding Coefficient	ICSBM
278	WD:250047935	27535	13928	0.25291	41	0.00199	Inbreeding Coefficient	ICSBM
279	Wf9:250040168	27535	6138	0.11146	45	0.00184	Inbreeding Coefficient	ICSBM
280	Yu796_NS:250040150	27535	16898	0.30685	184	0.00964	Inbreeding Coefficient	ICSBM
