<Phenotype>				
taxa	data	data	data	data
Taxa	BranchNum	DTA	NIRProtein	FER
Pa91:250040163	22.77927904	76.2198	15.6241	3.2825
R109B:250047926	21.23969803	74.7781	NA	3.6093
R168:250047929	22.69787959	71.807	15.3295	3.2912
R177:250040072	19.79883213	73.7613	13.1248	1.963
R229:250040041	18.86306233	76.5128	14.433	3.3867
R4:250040086	20.96451032	75.4267	16.4293	2.8294
SA24:250040033	25.44243578	78.2602	12.6508	2.1055
SC213R:250047978	24.62522709	89.1016	14.3674	3.0504
SC357:250040094	28.34656808	83.5126	14.5512	2.9558
SC55:250040090	30.64362441	86.532	14.149	2.7309
SD40:250040070	23.02844989	74.404	14.1921	3.3308
SD44:250040030	22.74705069	67.59	15.6525	2.6428
Sg1533:250040200	27.87885	76.3595	14.1167	2.5085
Sg18:250047958	30.07181609	76.9191	13.8114	3.3205
T232:250040156	26.13669223	80.2435	13.3993	2.7682
T234:250040008	25.27775153	80.9816	13.9189	3.0732
T8:250040060	25.24943711	77.3434	14.3104	2.6028
Tx303:250040816	29.4401703	82.5951	12.8742	2.782
Tx601:250040059	26.55915749	89.0878	14.223	2.5534
Tzi10:250040038	28.64648443	92.2354	14.5001	3.5959
Tzi11:250040092	25.81383483	82.0389	12.691	2.5335
Tzi16:250040058	29.81585517	82.8564	12.5022	3.5343
Tzi18:250040049	27.27971802	85.0143	14.9272	2.1582
Tzi25:250047965	28.82345202	82.2929	12.7458	3.0555
Tzi8:250040823	24.62399245	88.7131	15.3344	NA
Tzi9:250040017	27.93021884	84.5216	12.5349	3.4107
U267Y:250040221	17.35388542	85.573	13.4894	3.4306
VA102:250040204	19.07219404	71.7411	12.6554	2.3689
Va14:250040022	23.86847859	77.9785	15.5084	3.3096
Va17:250040077	16.20368583	76.1431	14.0362	2.9917
Va22:250048010	25.71092181	76.4844	16.2107	2.2583
Va26:250040214	26.50696539	73.3091	14.143	2.8866
Va35:250047974	19.9739878	74.6919	12.9606	2.6737
Va59:250039780	22.07228088	72.2783	14.7404	2.6305
Va85:250040165	13.42121948	74.443	13.5198	2.763
Va99:250048001	22.28259978	73.8772	13.3713	3.1778
VaW6:250040082	18.16659181	75.5219	13.1854	2.5501
W117Ht:250047949	20.47766183	65.581	13.1711	4.1781
W153R:250048003	20.5839756	71.1863	14.1373	2.9868
W182B:250048007	21.32617335	64.293	14.6939	3.1162
W22:250040808	22.84261656	74.6492	13.6952	3.5309
W22R-r-std_CS-2909-1:250040186	20.84937295	72.9056	13.3559	3.9478
W64A:250040195	21.16419168	71.9008	14.0349	NA
WD:250047935	21.54881861	62.0212	NA	3.7029
Wf9:250040168	24.00675008	71.997	13.6848	2.3896
Yu796_NS:250040150	22.58229194	74.5107	13.1903	4.0574
